,Restaurant Name,Ratings,No of Reviews,Review URL,Image URL,Street,More Info,Province,Zipcode,Phone Number,Day Open,Time Open,Tags,Other Image URL,Website URL
0,David's Kitchen,5,"3,242",http://www.tripadvisor.com/Restaurant_Review-g293917-d5960089-Reviews-David_s_Kitchen-Chiang_Mai.html,https://static.tacdn.com/img2/x.gif,113 Bumrungrad Road,Wat Kate Subdistrict,Chiang Mai,50000,+66 91 068 1744,Mon - Sat,5:00 PM - 10:00 PM,"French, European, Asian, Thai, Soups, Fusion, Vegetarian Friendly, Vegan Options, Gluten Free Options","[https://media-cdn.tripadvisor.com/media/photo-o/11/53/9c/dc/fine-dining-at-david.jpg, https://media-cdn.tripadvisor.com/media/photo-l/11/53/9c/dc/fine-dining-at-david.jpg, https://media-cdn.tripadvisor.com/media/photo-o/11/e5/e1/de/our-personal-greeting.jpg, https://media-cdn.tripadvisor.com/media/photo-o/11/e5/e1/d8/cauliflower-soup-amuse.jpg]",http://davidskitchen.co.th/
1,The Hideout,5,"1,193",http://www.tripadvisor.com/Restaurant_Review-g293917-d5121428-Reviews-The_Hideout-Chiang_Mai.html,https://static.tacdn.com/img2/x.gif,95/10 Sithiwongse Road,NaN,Chiang Mai,50300,+66 81 960 3889,Tue - Sun,8:00 AM - 5:00 PM,"Cafe, Vegetarian Friendly, Vegan Options","[https://media-cdn.tripadvisor.com/media/photo-o/06/ac/a9/ad/the-hideout.jpg, https://media-cdn.tripadvisor.com/media/photo-s/06/ac/ac/35/the-hideout.jpg, https://media-cdn.tripadvisor.com/media/photo-s/08/8e/18/6a/the-hideout.jpg, https://media-cdn.tripadvisor.com/media/photo-w/08/8e/18/6d/the-hideout.jpg, https://media-cdn.tripadvisor.com/media/photo-s/0e/1c/e5/09/logo.jpg, https://media-cdn.tripadvisor.com/media/photo-s/0e/1c/e5/1e/outside-the-restaurant.jpg, https://media-cdn.tripadvisor.com/media/photo-o/0f/87/79/53/the-hideout.jpg, https://media-cdn.tripadvisor.com/media/photo-o/05/0b/93/25/the-hideout.jpg, https://media-cdn.tripadvisor.com/media/photo-o/06/ac/a9/a6/the-hideout.jpg, https://media-cdn.tripadvisor.com/media/photo-s/11/ea/57/56/photo1jpg.jpg, https://media-cdn.tripadvisor.com/media/photo-s/11/ea/57/55/photo0jpg.jpg, https://media-cdn.tripadvisor.com/media/photo-s/11/e4/ba/b0/photo1jpg.jpg, https://media-cdn.tripadvisor.com/media/photo-s/11/d3/8b/26/photo0jpg.jpg]",http://www.facebook.com/thehideoutcm
2,Sababa Israeli Restaurant,5,"1,067",http://www.tripadvisor.com/Restaurant_Review-g293917-d6459327-Reviews-Sababa_Israeli_Restaurant-Chiang_Mai.html,https://static.tacdn.com/img2/x.gif,183/1 Chang Klang Road,NaN,Chiang Mai,50000,+66 64 719 0756,Sun - Thu,1:00 PM - 11:30 PM,"Mediterranean, Healthy, Middle Eastern, Israeli, Vegetarian Friendly, Vegan Options, Kosher, Gluten Free Options","[https://media-cdn.tripadvisor.com/media/photo-s/0e/d5/01/a7/with-the-owner-of-sababa.jpg, https://media-cdn.tripadvisor.com/media/photo-w/0e/d5/02/7f/in-sababa-we-servings.jpg, https://media-cdn.tripadvisor.com/media/photo-s/0e/d5/02/80/the-famous-yemeni-beans.jpg, https://media-cdn.tripadvisor.com/media/photo-s/0e/d5/02/9f/or-or-a-lovley-couple.jpg, https://media-cdn.tripadvisor.com/media/photo-s/0e/d5/03/a0/uncle-ezra-serves-and.jpg, https://media-cdn.tripadvisor.com/media/photo-s/0e/d5/03/a8/our-sign-outside-the.jpg, https://media-cdn.tripadvisor.com/media/photo-s/0e/d5/02/92/hummus-falafel-pickles.jpg, https://media-cdn.tripadvisor.com/media/photo-s/11/dc/00/ab/sababa-restaturnat.jpg, https://media-cdn.tripadvisor.com/media/photo-o/11/de/3c/fa/sababa-restaturnat.jpg, https://media-cdn.tripadvisor.com/media/photo-s/11/e3/8b/1f/20180127-230911-largejpg.jpg, https://media-cdn.tripadvisor.com/media/photo-s/11/de/fd/57/ta-img-20180125-225301.jpg, https://media-cdn.tripadvisor.com/media/photo-s/11/de/fa/31/ta-img-20180125-224527.jpg, https://media-cdn.tripadvisor.com/media/photo-s/11/de/d3/3c/ta-img-20180125-211518.jpg]",http://www.facebook.com/sababaCM
3,Fueng Fah Restaurant,4.5,291,http://www.tripadvisor.com/Restaurant_Review-g293917-d3259129-Reviews-Fueng_Fah_Restaurant-Chiang_Mai.html,https://static.tacdn.com/img2/x.gif,"110, Chang khlan Road",Suriwongse Hotel,Chiang Mai,50100,+66 53 270 051,Sun - Sat,6:00 AM - 11:00 PM,"Chinese, Asian, Thai, International, Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","[https://media-cdn.tripadvisor.com/media/photo-s/05/0b/75/ad/fueng-fah-restaurant.jpg, https://media-cdn.tripadvisor.com/media/photo-o/05/0b/75/ae/fueng-fah-restaurant.jpg, https://media-cdn.tripadvisor.com/media/photo-s/05/0b/75/b2/fueng-fah-restaurant.jpg, https://media-cdn.tripadvisor.com/media/photo-o/05/0b/75/b5/fueng-fah-restaurant.jpg, https://media-cdn.tripadvisor.com/media/photo-o/05/1b/17/2d/fueng-fah-restaurant.jpg, https://media-cdn.tripadvisor.com/media/photo-w/05/4e/59/1a/fueng-fah-restaurant.jpg, https://media-cdn.tripadvisor.com/media/photo-w/05/4e/59/1c/fueng-fah-restaurant.jpg, https://media-cdn.tripadvisor.com/media/photo-w/05/4e/59/28/fueng-fah-restaurant.jpg, https://media-cdn.tripadvisor.com/media/photo-w/05/4e/59/32/fueng-fah-restaurant.jpg, https://media-cdn.tripadvisor.com/media/photo-s/11/e5/81/46/img-20180128-184954-largejpg.jpg, https://media-cdn.tripadvisor.com/media/photo-s/11/e3/4d/3a/photo0jpg.jpg, https://media-cdn.tripadvisor.com/media/photo-s/11/d4/94/0d/photo0jpg.jpg, https://media-cdn.tripadvisor.com/media/photo-s/11/d2/2a/f0/photo0jpg.jpg]",http://www.movenpick.com/en/asia/thailand/chiang-mai/movenpick-suriwongse-hotel-chiang-mai/restaurants/fueng-fah/
4,The Service 1921 Restaurant & Bar,4.5,709,http://www.tripadvisor.com/Restaurant_Review-g293917-d8006332-Reviews-The_Service_1921_Restaurant_Bar-Chiang_Mai.html,https://static.tacdn.com/img2/x.gif,123-123/1 Charoen Prathet Road,Anantara Chiang Mai Resort & Spa,Chiang Mai,50100,+66 53 253 383,Sun,5:30 PM - 10:00 PM,"Chinese, Thai, Fusion, Vegetarian Friendly, Vegan Options, Gluten Free Options","[https://media-cdn.tripadvisor.com/media/photo-s/0d/8b/4f/4e/the-service-1921-restaurant.jpg, https://media-cdn.tripadvisor.com/media/photo-s/0d/8b/4f/7c/the-service-1921-restaurant.jpg, https://media-cdn.tripadvisor.com/media/photo-s/0d/8b/4f/82/the-service-1921-restaurant.jpg, https://media-cdn.tripadvisor.com/media/photo-s/0d/8b/4f/8b/the-service-1921-restaurant.jpg, https://media-cdn.tripadvisor.com/media/photo-s/0d/8b/4f/93/the-service-1921-restaurant.jpg, https://media-cdn.tripadvisor.com/media/photo-w/07/f4/1c/0a/the-service-1921-restaurant.jpg, https://media-cdn.tripadvisor.com/media/photo-s/0d/8b/4f/67/the-service-1921-restaurant.jpg, https://media-cdn.tripadvisor.com/media/photo-w/07/f4/1b/ea/the-service-1921-restaurant.jpg, https://media-cdn.tripadvisor.com/media/photo-s/08/f7/ca/1b/the-service-1921-restaurant.jpg, https://media-cdn.tripadvisor.com/media/daodao/photo-s/11/f4/de/51/photo4jpg.jpg, https://media-cdn.tripadvisor.com/media/daodao/photo-s/11/f4/de/4d/photo0jpg.jpg, https://media-cdn.tripadvisor.com/media/daodao/photo-s/11/f4/de/4e/photo1jpg.jpg, https://media-cdn.tripadvisor.com/media/daodao/photo-s/11/f4/de/4f/photo2jpg.jpg]",http://chiang-mai.anantara.com/the-service-1921-restaurant-bar/
5,Eat Is Life,5,564,http://www.tripadvisor.com/Restaurant_Review-g293917-d10515487-Reviews-Eat_Is_Life-Chiang_Mai.html,https://static.tacdn.com/img2/x.gif,"Nimmanahaeminda Rd., Soi 12",Kantary Hills Terrace,Chiang Mai,50200,+66 53 217 178,Mon - Sat,5:00 PM - 10:00 PM,"Japanese, Mediterranean, Thai, Healthy, Seafood, European, Asian, Vegetarian Friendly, Gluten Free Options, Vegan Options","[https://media-cdn.tripadvisor.com/media/photo-o/0d/43/64/24/caption.jpg, https://media-cdn.tripadvisor.com/media/photo-l/0d/43/64/24/caption.jpg, https://media-cdn.tripadvisor.com/media/photo-s/11/e9/f5/18/photo1jpg.jpg, https://media-cdn.tripadvisor.com/media/photo-s/11/e7/e8/24/photo1jpg.jpg]",NaN
6,Secret Learning Restaurant,4.5,593,http://www.tripadvisor.com/Restaurant_Review-g293917-d3722562-Reviews-Secret_Learning_Restaurant-Chiang_Mai.html,https://static.tacdn.com/img2/x.gif,25 / 1 Ratvithi Rd. Soi 2T,Sri Phum,Chiang Mai,50200,+66 86 730 9321,Mon - Sat,6:00 PM - 10:00 PM,"Italian, Mediterranean, European, Vegetarian Friendly, Vegan Options, Gluten Free Options","[https://media-cdn.tripadvisor.com/media/photo-s/08/d7/27/58/secret-learning-restaurant.jpg, https://media-cdn.tripadvisor.com/media/photo-w/0f/a1/fd/61/secret-learning-restaurant.jpg, https://media-cdn.tripadvisor.com/media/photo-w/0f/a1/fd/63/secret-learning-restaurant.jpg, https://media-cdn.tripadvisor.com/media/photo-w/0f/a1/fd/66/secret-learning-restaurant.jpg, https://media-cdn.tripadvisor.com/media/photo-w/0f/a1/fd/67/secret-learning-restaurant.jpg, https://media-cdn.tripadvisor.com/media/photo-w/0f/a1/fd/6a/secret-learning-restaurant.jpg, https://media-cdn.tripadvisor.com/media/photo-s/0f/a1/fd/6b/secret-learning-restaurant.jpg, https://media-cdn.tripadvisor.com/media/photo-o/07/2e/3f/21/secret-learning-restaurant.jpg, https://media-cdn.tripadvisor.com/media/photo-o/06/49/fd/76/interior-design.jpg, https://media-cdn.tripadvisor.com/media/photo-s/11/e2/7e/e5/imported-italian-products.jpg, https://media-cdn.tripadvisor.com/media/photo-s/11/e2/7e/e4/imported-italian-products.jpg, https://media-cdn.tripadvisor.com/media/photo-s/11/d0/2e/2b/photo2jpg.jpg, https://media-cdn.tripadvisor.com/media/photo-s/11/d0/2e/2a/photo1jpg.jpg]",https://secretlearningchiangmai.wordpress.com/
7,Tikky Cafe,4.5,607,http://www.tripadvisor.com/Restaurant_Review-g293917-d4887867-Reviews-Tikky_Cafe-Chiang_Mai.html,https://static.tacdn.com/img2/x.gif,2/2 Arak Soi 3,Sriphum,Chiang Mai,50200,+66 98 796 2182,Mon - Sat,10:30 AM - 6:00 PM,"Cafe, Asian, Thai, Vegetarian Friendly, Vegan Options, Gluten Free Options","[https://media-cdn.tripadvisor.com/media/photo-s/07/6f/2f/08/thank-you.jpg, https://media-cdn.tripadvisor.com/media/photo-s/07/6f/2f/52/thank-you.jpg, https://media-cdn.tripadvisor.com/media/photo-s/07/6f/2f/85/thank-you-my-friends.jpg, https://media-cdn.tripadvisor.com/media/photo-s/07/6f/2f/cf/thai-omelet.jpg, https://media-cdn.tripadvisor.com/media/photo-s/07/7d/5c/ca/chinese-customers.jpg, https://media-cdn.tripadvisor.com/media/photo-s/07/7d/5c/cc/some-pineapple-shake.jpg, https://media-cdn.tripadvisor.com/media/photo-s/07/7d/5c/ce/green-tea.jpg, https://media-cdn.tripadvisor.com/media/photo-s/07/7d/60/6c/mango-shake.jpg, https://media-cdn.tripadvisor.com/media/photo-s/05/08/7b/fc/thank-all-my-friend-and.jpg, https://media-cdn.tripadvisor.com/media/photo-s/11/ea/26/1d/photo1jpg.jpg, https://media-cdn.tripadvisor.com/media/photo-s/11/e0/93/77/photo0jpg.jpg, https://media-cdn.tripadvisor.com/media/photo-s/11/de/20/7a/2018-01-09-16-largejpg.jpg, https://media-cdn.tripadvisor.com/media/photo-p/11/cb/17/ff/tiki-salad.jpg]",http://tikkycafe.restaurantwebexperts.com/
8,Italics & Rise at Akyra Manor Chiang Mai,4.5,850,http://www.tripadvisor.com/Restaurant_Review-g293917-d8347816-Reviews-Italics_Rise_at_Akyra_Manor_Chiang_Mai-Chiang_Mai.html,https://static.tacdn.com/img2/x.gif,"22/2 Nimmana Haeminda Road, Soi 9, Suthep","Muang, Chiang Mai",Chiang Mai,50200,+66 53 216 219,Sun - Sat,7:00 AM - 11:00 PM,"Italian, Pizza, International, Thai, European, Vegetarian Friendly, Vegan Options, Gluten Free Options","[https://media-cdn.tripadvisor.com/media/photo-s/08/6a/e4/6e/italics-rise-at-akyra.jpg, https://media-cdn.tripadvisor.com/media/photo-s/08/6a/e4/75/italics-rise-at-akyra.jpg, https://media-cdn.tripadvisor.com/media/photo-s/08/6a/e4/80/italics-rise-at-akyra.jpg, https://media-cdn.tripadvisor.com/media/photo-s/08/6a/e4/99/italics-rise-at-akyra.jpg, https://media-cdn.tripadvisor.com/media/photo-s/08/6a/e4/a6/italics-rise-at-akyra.jpg, https://media-cdn.tripadvisor.com/media/photo-s/08/6a/e4/b4/italics-rise-at-akyra.jpg, https://media-cdn.tripadvisor.com/media/photo-w/08/6a/e4/c4/italics-rise-at-akyra.jpg, https://media-cdn.tripadvisor.com/media/photo-w/08/6a/e3/c1/italics-rise-at-akyra.jpg, https://media-cdn.tripadvisor.com/media/photo-o/08/6a/ee/92/italics-rise-at-akyra.jpg, https://media-cdn.tripadvisor.com/media/photo-s/11/e7/9b/33/besides-dlicious-food.jpg, https://media-cdn.tripadvisor.com/media/photo-s/11/e7/9b/31/besides-dlicious-food.jpg, https://media-cdn.tripadvisor.com/media/photo-s/11/e7/9b/30/besides-dlicious-food.jpg, https://media-cdn.tripadvisor.com/media/photo-s/11/e7/99/e0/somthong-must-be-said.jpg]",http://www.theakyra.com/chiang-mai/dining/akyra-manor-italics/
9,La Fourchette,4.5,676,http://www.tripadvisor.com/Restaurant_Review-g293917-d2051656-Reviews-La_Fourchette-Chiang_Mai.html,https://static.tacdn.com/img2/x.gif,162/2 Phra Pokklao Road,Phrasing Subdistrict,Chiang Mai,50200,+66 53 277 482,Mon - Sat,6:00 PM - 11:00 PM,"Swiss, French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options","[https://media-cdn.tripadvisor.com/media/photo-s/05/a0/c2/1b/ostrich-raw-ham-and-sage.jpg, https://media-cdn.tripadvisor.com/media/photo-s/05/a0/c2/1d/swiss-cheese-souffle.jpg, https://media-cdn.tripadvisor.com/media/photo-s/05/c4/de/a4/nougat-ice-cream.jpg, https://media-cdn.tripadvisor.com/media/photo-w/06/09/77/ea/hot-chocolate-souffle.jpg, https://media-cdn.tripadvisor.com/media/photo-w/06/09/77/eb/rillettes-de-saumon.jpg, https://media-cdn.tripadvisor.com/media/photo-s/06/09/77/ec/hollywood-star-oven-nilson.jpg, https://media-cdn.tripadvisor.com/media/photo-s/02/8c/0c/de/creamed-chicken-liver.jpg, https://media-cdn.tripadvisor.com/media/photo-s/02/8c/0d/df/la-fourchette-french.jpg, https://media-cdn.tripadvisor.com/media/photo-s/02/8c/54/e6/chaine-des-rotisseurs.jpg, https://media-cdn.tripadvisor.com/media/photo-s/11/bc/33/dd/img20180110185545-largejpg.jpg, https://media-cdn.tripadvisor.com/media/photo-s/11/bc/33/dc/img20180110185311-largejpg.jpg, https://media-cdn.tripadvisor.com/media/photo-o/11/bc/33/db/img20180110185556-largejpg.jpg, https://media-cdn.tripadvisor.com/media/photo-p/11/bc/33/da/img20180110192006-largejpg.jpg]",http://www.restaurant-la-fourchette.com
