,Restaurant Name,Ratings,No of Reviews,Review URL,Image URL
0,Taste From Heaven Vegan and Vegetarian Restaurant,4.5,"1,169",http://www.tripadvisor.com/Restaurant_Review-g293917-d6593360-Reviews-Taste_From_Heaven_Vegan_and_Vegetarian_Restaurant-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-s/05/d2/9d/a7/taste-from-heaven-vegetarian.jpg
1,Cafe de ThaanAoan,4.5,567,http://www.tripadvisor.com/Restaurant_Review-g293917-d1932102-Reviews-Cafe_de_ThaanAoan-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/01/c7/7d/2f/padthai.jpg
2,Coconut Shell,4.5,393,http://www.tripadvisor.com/Restaurant_Review-g293917-d9715652-Reviews-Coconut_Shell-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/0a/49/34/02/photo1jpg.jpg
3,Mr KAI Restaurant,4.5,772,http://www.tripadvisor.com/Restaurant_Review-g293917-d4235791-Reviews-Mr_KAI_Restaurant-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/03/ef/1d/4a/ajouter-une-legende.jpg
4,Favola at Le Meridien,4.5,472,http://www.tripadvisor.com/Restaurant_Review-g293917-d1223588-Reviews-Favola_at_Le_Meridien-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-s/03/7c/28/6b/favola-restaurant.jpg
5,Kanjana,4.5,829,http://www.tripadvisor.com/Restaurant_Review-g293917-d3665386-Reviews-Kanjana-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/06/0e/6a/ce/khao-soi-noodles-incredible.jpg
6,By Hand Pizza Cafe,4.5,420,http://www.tripadvisor.com/Restaurant_Review-g293917-d5570594-Reviews-By_Hand_Pizza_Cafe-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/0d/f8/74/7c/vegan-pizza.jpg
7,Kat's Kitchen,4.5,289,http://www.tripadvisor.com/Restaurant_Review-g293917-d8351790-Reviews-Kat_s_Kitchen-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/0d/65/b7/cb/mixed-fruit-50-baht.jpg
8,Pho Anh,4.5,158,http://www.tripadvisor.com/Restaurant_Review-g293917-d8867075-Reviews-Pho_Anh-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/0e/cb/9d/4b/ga-kho-xa-chicken-lemongrass.jpg
9,Angel's Secrets,4.5,752,http://www.tripadvisor.com/Restaurant_Review-g293917-d2696261-Reviews-Angel_s_Secrets-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/02/fb/58/a1/angel-s-secrets.jpg
10,Bagel House Cafe & Bakery,4.5,398,http://www.tripadvisor.com/Restaurant_Review-g293917-d3784973-Reviews-Bagel_House_Cafe_Bakery-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/0e/1a/83/db/new-location-at-moonmuang.jpg
11,Rosy-Cheeks,5,77,http://www.tripadvisor.com/Restaurant_Review-g293917-d11872721-Reviews-Rosy_Cheeks-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/0f/b1/c8/db/the-japanese-quinoa-bowl.jpg
12,New Delhi Indian Food,4.5,708,http://www.tripadvisor.com/Restaurant_Review-g293917-d3378837-Reviews-New_Delhi_Indian_Food-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/02/eb/cc/c2/new-delhi-indian-food.jpg
13,Rock Me Burgers & Bar,4.5,621,http://www.tripadvisor.com/Restaurant_Review-g293917-d6617706-Reviews-Rock_Me_Burgers_Bar-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/0d/a3/91/a7/photo0jpg.jpg
14,Street Pizza and The Wine Houzz,4.5,680,http://www.tripadvisor.com/Restaurant_Review-g293917-d4520984-Reviews-Street_Pizza_and_The_Wine_Houzz-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/04/4a/ed/73/street-pizza.jpg
15,Anchan Vegetarian Restaurant,4.5,550,http://www.tripadvisor.com/Restaurant_Review-g293917-d3602277-Reviews-Anchan_Vegetarian_Restaurant-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/03/0a/0e/38/anchan-vegetarian.jpg
16,Lemongrass Thai Restaurant,4.5,"2,442",http://www.tripadvisor.com/Restaurant_Review-g293917-d1723591-Reviews-Lemongrass_Thai_Restaurant-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/01/d3/13/0a/food.jpg
17,AUM Vegetarian Food,4.5,448,http://www.tripadvisor.com/Restaurant_Review-g293917-d1129373-Reviews-AUM_Vegetarian_Food-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/01/e5/56/d8/upstairs.jpg
18,Whole Earth Restaurant,4,"1,401",http://www.tripadvisor.com/Restaurant_Review-g293917-d1131011-Reviews-Whole_Earth_Restaurant-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/01/e4/ca/d8/panang-curry.jpg
19,The Swan Burmese Cuisine,4.5,574,http://www.tripadvisor.com/Restaurant_Review-g293917-d2046607-Reviews-The_Swan_Burmese_Cuisine-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/02/4b/99/2d/salade-tiede-de-porc.jpg
20,The River Market,4,961,http://www.tripadvisor.com/Restaurant_Review-g293917-d2660913-Reviews-The_River_Market-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/11/7b/78/c0/authentic-thai-food-at.jpg
21,Beast Burger,4.5,201,http://www.tripadvisor.com/Restaurant_Review-g293917-d7290687-Reviews-Beast_Burger-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-s/0b/77/53/12/beast-burger.jpg
22,Bubbles Live,4.5,373,http://www.tripadvisor.com/Restaurant_Review-g293917-d1438463-Reviews-Bubbles_Live-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-s/09/a1/4e/63/veggi-burger-with-avocados.jpg
23,The House Restaurant,4.5,305,http://www.tripadvisor.com/Restaurant_Review-g293917-d3860913-Reviews-The_House_Restaurant-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/09/ce/16/18/our-new-addition-to-the.jpg
24,Blue Diamond Breakfast Club,4,"1,024",http://www.tripadvisor.com/Restaurant_Review-g293917-d1218462-Reviews-Blue_Diamond_Breakfast_Club-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/0e/a5/12/62/my-absolute-favorite.jpg
